ID,Name,Nationality,Club,Position,Age,Overall,Predicted_Overall,Residual
208722,S. Mané,Senegal,Liverpool,LM,26,86,86.11000061035156,-0.11
203376,V. van Dijk,Netherlands,Liverpool,LCB,26,86,86.86000061035156,-0.86
202652,R. Sterling,England,Manchester City,RW,23,86,86.04000091552734,-0.04
201942,Roberto Firmino,Brazil,Liverpool,CAM,26,86,86.0,0.0
201535,R. Varane,France,Real Madrid,RCB,25,86,86.22000122070312,-0.22
199556,M. Verratti,Italy,Paris Saint-Germain,LCM,25,86,86.08000183105469,-0.08
191043,Alex Sandro,Brazil,Juventus,LB,27,86,85.91000366210938,0.09
190483,Douglas Costa,Brazil,Juventus,LM,27,86,85.91000366210938,0.09
189596,T. Müller,Germany,FC Bayern München,CAM,28,86,85.80999755859375,0.19
189509,Thiago,Spain,FC Bayern München,CM,27,86,85.76000213623047,0.24
188350,M. Reus,Germany,Borussia Dortmund,LM,29,86,85.98999786376953,0.01
184432,Azpilicueta,Spain,Chelsea,RB,28,86,85.80000305175781,0.2
184344,L. Bonucci,Italy,Juventus,RCB,31,86,86.12000274658203,-0.12
184087,T. Alderweireld,Belgium,Tottenham Hotspur,RCB,29,86,86.23999786376953,-0.24
180206,M. Pjanić,Bosnia Herzegovina,Juventus,CDM,28,86,86.31999969482422,-0.32
177509,M. Benatia,Morocco,Juventus,CB,31,86,86.08000183105469,-0.08
176635,M. Özil,Germany,Arsenal,CAM,29,86,86.11000061035156,-0.11
135507,Fernandinho,Brazil,Manchester City,CDM,33,86,85.91000366210938,0.09
41,Iniesta,Spain,Vissel Kobe,LF,34,86,85.83999633789062,0.16
232363,M. Škriniar,Slovakia,Inter,LCB,23,85,85.05000305175781,-0.05
223848,S. Milinković-Savić,Serbia,Lazio,CM,23,85,84.94999694824219,0.05
220834,Marco Asensio,Spain,Real Madrid,RW,22,85,85.18000030517578,-0.18
216594,N. Fekir,France,Olympique Lyonnais,CAM,24,85,84.88999938964844,0.11
212831,Alisson,Brazil,Liverpool,GK,25,85,85.2699966430664,-0.27
212622,J. Kimmich,Germany,FC Bayern München,RCM,23,85,84.97000122070312,0.03
208421,Saúl,Spain,Atlético Madrid,RCM,23,85,85.04000091552734,-0.04
204485,R. Mahrez,Algeria,Manchester City,RW,27,85,84.06999969482422,0.93
197445,D. Alaba,Austria,FC Bayern München,LB,26,85,85.58999633789062,-0.59
193747,Koke,Spain,Atlético Madrid,LM,26,85,85.08000183105469,-0.08
193301,A. Lacazette,France,Arsenal,ST,27,85,85.29000091552734,-0.29
192774,K. Manolas,Greece,Roma,LCB,27,85,85.7300033569336,-0.73
192366,N. Otamendi,Argentina,Manchester City,CB,30,85,84.76000213623047,0.24
189513,Parejo,Spain,Valencia CF,RCM,29,85,84.77999877929688,0.22
187961,Paulinho,Brazil,Guangzhou Evergrande Taobao FC,LDM,29,85,85.11000061035156,-0.11
186153,W. Szczęsny,Poland,Juventus,GK,28,85,85.06999969482422,-0.07
184941,A. Sánchez,Chile,Manchester United,RW,29,85,85.13999938964844,-0.14
184267,Y. Brahimi,Algeria,FC Porto,LM,28,85,84.55999755859375,0.44
183907,J. Boateng,Germany,FC Bayern München,RCB,29,85,84.88999938964844,0.11
181872,A. Vidal,Chile,FC Barcelona,CAM,31,85,84.97000122070312,0.03
181458,I. Perišić,Croatia,Inter,LM,29,85,84.93000030517578,0.07
180930,E. Džeko,Bosnia Herzegovina,Roma,ST,32,85,84.97000122070312,0.03
179846,S. Khedira,Germany,Juventus,RCM,31,85,85.37000274658203,-0.37
179844,Diego Costa,Spain,Atlético Madrid,LS,29,85,84.97000122070312,0.03
178518,R. Nainggolan,Belgium,Inter,CAM,30,85,84.88999938964844,0.11
171919,Naldo,Brazil,FC Schalke 04,CB,35,85,84.0,1.0
170890,B. Matuidi,France,Juventus,LM,31,85,84.55999755859375,0.44
168609,Miranda,Brazil,Inter,CB,33,85,85.05000305175781,-0.05
165153,K. Benzema,France,Real Madrid,ST,30,85,85.16999816894531,-0.17
164169,Filipe Luís,Brazil,Atlético Madrid,LB,32,85,84.91999816894531,0.08
139720,V. Kompany,Belgium,Manchester City,CB,32,85,85.30000305175781,-0.3
120533,Pepe,Portugal,Beşiktaş JK,RCB,35,85,84.91000366210938,0.09
41236,Z. Ibrahimović,Sweden,LA Galaxy,RS,36,85,84.95999908447266,0.04
220793,D. Sánchez,Colombia,Tottenham Hotspur,RCB,22,84,83.62000274658203,0.38
216460,J. Giménez,Uruguay,Atlético Madrid,RCB,23,84,83.94000244140625,0.06
212462,Alex Telles,Brazil,FC Porto,LB,25,84,84.0199966430664,-0.02
212218,A. Laporte,France,Manchester City,LCB,24,84,83.83999633789062,0.16
212198,Bruno Fernandes,Portugal,Sporting CP,LCM,23,84,83.8499984741211,0.15
212190,N. Süle,Germany,FC Bayern München,CB,22,84,84.01000213623047,-0.01
211300,A. Martial,France,Manchester United,LW,22,84,84.05999755859375,-0.06
211117,D. Alli,England,Tottenham Hotspur,LCM,22,84,84.08999633789062,-0.09
209499,Fabinho,Brazil,Liverpool,CDM,24,84,84.19000244140625,-0.19
207865,Marquinhos,Brazil,Paris Saint-Germain,LDM,24,84,83.95999908447266,0.04
207566,William Carvalho,Portugal,Real Betis,CDM,26,84,83.93000030517578,0.07
205498,Jorginho,Italy,Chelsea,CM,26,84,84.4000015258789,-0.4
204970,F. Thauvin,France,Olympique de Marseille,RM,25,84,83.87999725341797,0.12
204963,Carvajal,Spain,Real Madrid,RB,26,84,84.41999816894531,-0.42
202556,M. Depay,Netherlands,Olympique Lyonnais,ST,24,84,83.9000015258789,0.1
200104,H. Son,Korea Republic,Tottenham Hotspur,LM,25,84,84.05999755859375,-0.06
199482,A. Lopes,Portugal,Olympique Lyonnais,GK,27,84,83.87999725341797,0.12
198176,S. de Vrij,Netherlands,Inter,CB,26,84,84.08000183105469,-0.08
198009,M. Perin,Italy,Juventus,GK,25,84,83.86000061035156,0.14
193082,J. Cuadrado,Colombia,Juventus,RAM,30,84,84.0,0.0
192629,Iago Aspas,Spain,RC Celta,ST,30,84,83.58000183105469,0.42
192563,B. Leno,Germany,Arsenal,GK,26,84,83.94999694824219,0.05
191202,N. Matić,Serbia,Manchester United,CDM,29,84,84.11000061035156,-0.11
190941,L. Hrádecký,Finland,Bayer 04 Leverkusen,GK,28,84,83.72000122070312,0.28
190584,Illarramendi,Spain,Real Sociedad,RDM,28,84,83.83999633789062,0.16
188377,K. Walker,England,Manchester City,RB,28,84,84.0,0.0
186942,I. Gündoğan,Germany,Manchester City,CM,27,84,84.08999633789062,-0.09
185020,José Callejón,Spain,Napoli,RM,31,84,83.91999816894531,0.08
183898,A. Di María,Argentina,Paris Saint-Germain,RM,30,84,83.9000015258789,0.1
181783,M. Mandžukić,Croatia,Juventus,ST,32,84,84.05000305175781,-0.05
180403,Willian,Brazil,Chelsea,RW,29,84,84.11000061035156,-0.11
178750,Sergio Asenjo,Spain,Villarreal CF,GK,29,84,83.94999694824219,0.05
178562,E. Banega,Argentina,Sevilla FC,CDM,30,84,83.83000183105469,0.17
177413,A. Witsel,Belgium,Borussia Dortmund,LCM,29,84,83.80999755859375,0.19
177388,D. Payet,France,Olympique de Marseille,CAM,31,84,83.69000244140625,0.31
176769,Jonas,Brazil,SL Benfica,ST,34,84,83.97000122070312,0.03
172879,Sokratis,Greece,Arsenal,RCB,30,84,83.86000061035156,0.14
167628,S. Ruffier,France,AS Saint-Étienne,GK,31,84,83.79000091552734,0.21
167397,Falcao,Colombia,AS Monaco,RS,32,84,84.06999969482422,-0.07
163587,K. Schmeichel,Denmark,Leicester City,GK,31,84,83.30999755859375,0.69
157481,Raúl Albiol,Spain,Napoli,RCB,32,84,84.4000015258789,-0.4
143076,A. Gómez,Argentina,Atalanta,LS,30,84,84.04000091552734,-0.04
137186,A. Barzagli,Italy,Juventus,CB,37,84,83.7699966430664,0.23
20775,Quaresma,Portugal,Beşiktaş JK,RM,34,84,83.69000244140625,0.31
9014,A. Robben,Netherlands,FC Bayern München,RM,34,84,84.18000030517578,-0.18
231443,O. Dembélé,France,FC Barcelona,RW,21,83,83.27999877929688,-0.28
230666,Gabriel Jesus,Brazil,Manchester City,ST,21,83,83.11000061035156,-0.11
230481,Ronaldo Cabrais,Brazil,Grêmio,RW,26,83,82.97000122070312,0.03
230375,Josué Chiamulera,Brazil,Grêmio,LCB,26,83,83.0,0.0
230294,Louri Beretta,Brazil,Atlético Mineiro,ST,26,83,82.91999816894531,0.08
225850,P. Kimpembe,France,Paris Saint-Germain,LCB,22,83,83.16999816894531,-0.17
220971,N. Keïta,Guinea,Liverpool,CM,23,83,82.83999633789062,0.16
219683,C. Tolisso,France,FC Bayern München,CM,23,83,83.13999938964844,-0.14
213565,T. Lemar,France,Atlético Madrid,LM,22,83,82.9800033569336,0.02
213345,K. Coman,France,FC Bayern München,LM,22,83,82.7699966430664,0.23
213331,J. Tah,Germany,Bayer 04 Leverkusen,CB,22,83,83.08000183105469,-0.08
212523,Anderson Talisca,Brazil,Guangzhou Evergrande Taobao FC,CAM,24,83,83.0199966430664,-0.02
212188,T. Werner,Germany,RB Leipzig,RW,22,83,83.38999938964844,-0.39
210008,A. Rabiot,France,Paris Saint-Germain,CM,23,83,83.06999969482422,-0.07
209658,L. Goretzka,Germany,FC Bayern München,CM,23,83,83.66000366210938,-0.66
208808,Q. Promes,Netherlands,Sevilla FC,RM,26,83,82.95999908447266,0.04
208670,H. Ziyech,Morocco,Ajax,RAM,25,83,82.88999938964844,0.11
208618,Lucas Vázquez,Spain,Real Madrid,RW,27,83,83.08999633789062,-0.09
208418,Y. Carrasco,Belgium,Dalian YiFang FC,LM,24,83,82.97000122070312,0.03
208093,Gerard Moreno,Spain,Villarreal CF,LS,26,83,82.81999969482422,0.18
207863,Felipe,Brazil,FC Porto,RCB,29,83,82.94999694824219,0.05
207410,M. Kovačić,Croatia,Chelsea,LCM,24,83,82.9800033569336,0.02
206585,Kepa,Spain,Chelsea,GK,23,83,83.16999816894531,-0.17
206545,Manu Trigueros,Spain,Villarreal CF,RCM,26,83,82.8499984741211,0.15
206113,S. Gnabry,Germany,FC Bayern München,ST,22,83,82.69000244140625,0.31
204935,J. Pickford,England,Everton,GK,24,83,83.0,0.0
204639,S. Savić,Montenegro,Atlético Madrid,CB,27,83,83.16000366210938,-0.16
203574,J. Stones,England,Manchester City,RCB,24,83,82.86000061035156,0.14
202651,Suso,Spain,Milan,RW,24,83,82.87999725341797,0.12
202166,J. Draxler,Germany,Paris Saint-Germain,CM,24,83,83.02999877929688,-0.03
201995,Felipe Anderson,Brazil,West Ham United,LM,25,83,82.94000244140625,0.06
200949,Lucas Moura,Brazil,Tottenham Hotspur,RM,25,83,82.86000061035156,0.14
200888,Danilo Pereira,Portugal,FC Porto,CDM,26,83,82.88999938964844,0.11
200724,Nacho Fernández,Spain,Real Madrid,CB,28,83,83.30999755859375,-0.31
200316,T. Horn,Germany,1. FC Köln,GK,25,83,82.98999786376953,0.01
199914,Allan,Brazil,Napoli,RCM,27,83,83.01000213623047,-0.01
199845,F. Acerbi,Italy,Lazio,CB,30,83,82.93000030517578,0.07
199564,Sergi Roberto,Spain,FC Barcelona,RB,26,83,83.0999984741211,-0.1
198329,Rodrigo,Spain,Valencia CF,ST,27,83,82.94000244140625,0.06
197965,Pizzi,Portugal,SL Benfica,LCM,28,83,82.93000030517578,0.07
195365,K. Kampl,Slovenia,RB Leipzig,LCM,27,83,82.8499984741211,0.15
194404,Neto,Brazil,Valencia CF,GK,28,83,82.83999633789062,0.16
193698,O. Baumann,Germany,TSG 1899 Hoffenheim,GK,28,83,83.05999755859375,-0.06
193474,I. Gueye,Senegal,Everton,RDM,28,83,82.7699966430664,0.23
192883,H. Mkhitaryan,Armenia,Arsenal,RM,29,83,82.97000122070312,0.03
192638,Marcos Alonso,Spain,Chelsea,LB,27,83,83.29000091552734,-0.29
192593,D. Subašić,Croatia,AS Monaco,GK,33,83,83.20999908447266,-0.21
190547,K. Glik,Poland,AS Monaco,RCB,30,83,82.9000015258789,0.1
189712,K. Strootman,Netherlands,Olympique de Marseille,CDM,28,83,82.93000030517578,0.07
189068,B. Dost,Netherlands,Sporting CP,ST,29,83,83.0199966430664,-0.02
188152,Oscar,Brazil,Shanghai SIPG FC,LCM,26,83,82.93000030517578,0.07
186627,M. Balotelli,Italy,OGC Nice,LS,27,83,82.66000366210938,0.34
185221,Luiz Gustavo,Brazil,Olympique de Marseille,LCB,30,83,83.05000305175781,-0.05
184942,Giuliano,Brazil,Al Nassr,CAM,28,83,82.68000030517578,0.32
179944,David Luiz,Brazil,Chelsea,LCB,31,83,82.77999877929688,0.22
179783,R. Fährmann,Germany,FC Schalke 04,GK,29,83,82.98999786376953,0.01
178088,Juan Mata,Spain,Manchester United,RM,30,83,83.23999786376953,-0.24
178086,Adán,Spain,Atlético Madrid,GK,31,83,82.97000122070312,0.03
178005,Rui Patrício,Portugal,Wolverhampton Wanderers,GK,30,83,82.9800033569336,0.02
177683,Y. Sommer,Switzerland,Borussia Mönchengladbach,GK,29,83,82.95999908447266,0.04
177610,Javi Martínez,Spain,FC Bayern München,CDM,29,83,83.08999633789062,-0.09
177457,L. Bender,Germany,Bayer 04 Leverkusen,RB,29,83,83.16999816894531,-0.17
176266,Lucas Leiva,Brazil,Lazio,LDM,31,83,82.54000091552734,0.46
163705,S. Mandanda,France,Olympique de Marseille,GK,33,83,82.88999938964844,0.11
162895,Cesc Fàbregas,Spain,Chelsea,CM,31,83,83.0,0.0
162240,M. Dembélé,Belgium,Tottenham Hotspur,CM,30,83,83.1500015258789,-0.15
156616,F. Ribéry,France,FC Bayern München,LM,35,83,82.68000030517578,0.32
104389,R. Jarstein,Norway,Hertha BSC,GK,33,83,82.80000305175781,0.2
53302,D. De Rossi,Italy,Roma,RDM,34,83,83.04000091552734,-0.04
24630,Pepe Reina,Spain,Milan,GK,35,83,82.97000122070312,0.03
236583,J. Pavlenka,Czech Republic,SV Werder Bremen,GK,26,82,82.12000274658203,-0.12
235243,M. de Ligt,Netherlands,Ajax,RCB,18,82,82.0199966430664,-0.02
231866,Rodri,Spain,Atlético Madrid,CM,22,82,81.93000030517578,0.07
230658,Arthur,Brazil,FC Barcelona,LCM,21,82,82.05000305175781,-0.05
230621,G. Donnarumma,Italy,Milan,GK,19,82,81.98999786376953,0.01
230258,Rosberto Dourado,Brazil,Atlético Mineiro,RCM,30,82,81.95999908447266,0.04
230225,Juiano Mestres,Brazil,Cruzeiro,RCB,34,82,81.77999877929688,0.22
230168,Raphaelito Anjos,Brazil,Grêmio,GK,30,82,82.13999938964844,-0.14
227055,Gelson Martins,Portugal,Atlético Madrid,RM,23,82,82.38999938964844,-0.39
224411,Gonçalo Guedes,Portugal,Valencia CF,LM,21,82,81.88999938964844,0.11
223959,L. Torreira,Uruguay,Arsenal,LCM,22,82,81.9800033569336,0.02
222737,Malcom,Brazil,FC Barcelona,RW,21,82,82.08000183105469,-0.08
221087,Pau López,Spain,Real Betis,GK,23,82,81.98999786376953,0.01
220814,L. Hernández,France,Atlético Madrid,LB,22,82,82.12000274658203,-0.12
220440,C. Lenglet,France,FC Barcelona,LCB,23,82,82.08000183105469,-0.08
216354,A. Kramarić,Croatia,TSG 1899 Hoffenheim,LCM,27,82,82.01000213623047,-0.01
216267,A. Robertson,Scotland,Liverpool,LB,24,82,81.98999786376953,0.01
216194,Dani García,Spain,Athletic Club de Bilbao,RCM,28,82,81.9000015258789,0.1
212404,F. Bernardeschi,Italy,Juventus,RM,24,82,82.22000122070312,-0.22
212194,J. Brandt,Germany,Bayer 04 Leverkusen,LM,22,82,82.33000183105469,-0.33
211320,D. Rugani,Italy,Juventus,CB,23,82,82.0999984741211,-0.1
210617,Samu Castillejo,Spain,Milan,RM,23,82,81.94999694824219,0.05
210514,João Cancelo,Portugal,Juventus,RB,24,82,82.30999755859375,-0.31
210413,A. Romagnoli,Italy,Milan,LCB,23,82,82.08999633789062,-0.09
209989,T. Partey,Ghana,Atlético Madrid,CDM,25,82,81.87999725341797,0.12
209297,Fred,Brazil,Manchester United,CM,25,82,81.88999938964844,0.11
208830,J. Vardy,England,Leicester City,ST,31,82,82.37999725341797,-0.38
208596,A. Belotti,Italy,Torino,LS,24,82,82.05999755859375,-0.06
208448,E. Forsberg,Sweden,RB Leipzig,LM,26,82,81.97000122070312,0.03
207494,J. Lingard,England,Manchester United,CAM,25,82,81.75,0.25
207471,F. Vázquez,Argentina,Sevilla FC,LCM,29,82,81.97000122070312,0.03
205678,E. Višća,Bosnia Herzegovina,Medipol Başakşehir FK,RM,28,82,82.02999877929688,-0.03
205452,A. Rüdiger,Germany,Chelsea,CB,25,82,81.75,0.25
203551,A. Florenzi,Italy,Roma,RB,27,82,82.0999984741211,-0.1
203263,H. Maguire,England,Leicester City,LCB,25,82,81.55999755859375,0.44
202371,T. Meunier,Belgium,Paris Saint-Germain,RM,26,82,81.95999908447266,0.04
201956,S. Sané,Senegal,FC Schalke 04,CB,27,82,81.87000274658203,0.13
201455,G. Kondogbia,Central African Rep.,Valencia CF,CM,25,82,82.2699966430664,-0.27
201400,Rafinha,Brazil,FC Barcelona,CAM,25,82,82.80999755859375,-0.81
201305,Gabriel Paulista,Brazil,Valencia CF,LCB,27,82,82.19999694824219,-0.2
201153,Morata,Spain,Chelsea,ST,25,82,82.08000183105469,-0.08
199987,J. Cillessen,Netherlands,FC Barcelona,GK,29,82,82.22000122070312,-0.22
199451,W. Ben Yedder,France,Sevilla FC,RS,27,82,81.86000061035156,0.14
198951,C. Bakambu,DR Congo,Beijing Sinobo Guoan FC,ST,27,82,82.06999969482422,-0.07
198950,Pablo Sarabia,Spain,Sevilla FC,RCM,26,82,81.91000366210938,0.09
198717,W. Zaha,Ivory Coast,Crystal Palace,LS,25,82,82.05000305175781,-0.05
198706,Luis Alberto,Spain,Lazio,CF,25,82,82.20999908447266,-0.21
198164,Jonathan Viera,Spain,Beijing Sinobo Guoan FC,LF,28,82,82.12999725341797,-0.13
198141,Bartra,Spain,Real Betis,CB,27,82,82.44999694824219,-0.45
197655,S. Coates,Uruguay,Sporting CP,RCB,27,82,82.38999938964844,-0.39
195093,Willian José,Brazil,Real Sociedad,ST,26,82,81.88999938964844,0.11
193525,Mário Fernandes,Russia,PFC CSKA Moscow,RB,27,82,81.94000244140625,0.06
193469,Víctor Ruiz,Spain,Villarreal CF,LCB,29,82,82.2699966430664,-0.27
193283,T. Delaney,Denmark,Borussia Dortmund,LCM,26,82,81.98999786376953,0.01
192984,K. Casteels,Belgium,VfL Wolfsburg,GK,26,82,82.06999969482422,-0.07
192318,M. Götze,Germany,Borussia Dortmund,CM,26,82,83.06999969482422,-1.07
192227,S. Mustafi,Germany,Arsenal,RCB,26,82,82.33999633789062,-0.34
191180,J. Pastore,Argentina,Roma,CAM,29,82,82.1500015258789,-0.15
189505,Pedro,Spain,Chelsea,RW,30,82,82.06999969482422,-0.07
189125,G. Bonaventura,Italy,Milan,CM,28,82,82.44000244140625,-0.44
189117,R. Bürki,Switzerland,Borussia Dortmund,GK,27,82,82.05999755859375,-0.06
188803,Taison,Brazil,Shakhtar Donetsk,LM,30,82,81.9800033569336,0.02
187936,S. Nzonzi,France,Roma,CDM,29,82,81.9000015258789,0.1
187754,Marlos,Ukraine,Shakhtar Donetsk,RM,30,82,81.9800033569336,0.02
186561,A. Ramsey,Wales,Arsenal,CAM,27,82,82.12999725341797,-0.13
186345,K. Trippier,England,Tottenham Hotspur,RB,27,82,82.16000366210938,-0.16
185103,A. Kolarov,Serbia,Roma,LB,32,82,82.27999877929688,-0.28
184484,G. Sigurðsson,Iceland,Everton,CAM,28,82,82.1500015258789,-0.15
184431,S. Giovinco,Italy,Toronto FC,CF,31,82,81.80999755859375,0.19
184200,M. Arnautović,Austria,West Ham United,LS,29,82,82.1500015258789,-0.15
184144,N. Gaitán,Argentina,Dalian YiFang FC,CAM,30,82,82.05000305175781,-0.05
183711,J. Henderson,England,Liverpool,RCM,28,82,81.62999725341797,0.37
183574,M. Kruse,Germany,SV Werder Bremen,ST,30,82,82.23999786376953,-0.24
183498,M. Parolo,Italy,Lazio,RDM,33,82,81.9000015258789,0.1
183376,L. Fejsa,Serbia,SL Benfica,CDM,29,82,81.79000091552734,0.21
183280,A. Rami,France,Olympique de Marseille,RCB,32,82,82.05000305175781,-0.05
181786,V. Ćorluka,Croatia,Lokomotiv Moscow,LCB,32,82,81.93000030517578,0.07
181291,G. Wijnaldum,Netherlands,Liverpool,CAM,27,82,82.01000213623047,-0.01
179847,F. Fazio,Argentina,Roma,LCB,31,82,82.37000274658203,-0.37
178509,O. Giroud,France,Chelsea,ST,31,82,82.37000274658203,-0.37
173521,Marcano,Spain,Roma,CB,31,82,82.16999816894531,-0.17
171897,A. Guardado,Mexico,Real Betis,CM,31,82,82.05000305175781,-0.05
170481,E. Garay,Argentina,Valencia CF,RCB,31,82,82.0,0.0
168530,Jardel,Brazil,SL Benfica,LCB,32,82,81.91999816894531,0.08
168435,S. Sirigu,Italy,Torino,GK,31,82,82.05000305175781,-0.05
168354,E. Viviano,Italy,Sporting CP,GK,32,82,82.05000305175781,-0.05
165229,L. Koscielny,France,Arsenal,CB,32,82,82.06999969482422,-0.07
163489,A. Consigli,Italy,Sassuolo,GK,31,82,82.0199966430664,-0.02
158963,L. Biglia,Argentina,Milan,CDM,32,82,81.94000244140625,0.06
146530,Dani Alves,Brazil,Paris Saint-Germain,RB,35,82,82.0999984741211,-0.1
113422,David Villa,Spain,New York City FC,ST,36,82,81.95999908447266,0.04
106231,Aduriz,Spain,Athletic Club de Bilbao,ST,37,82,82.08999633789062,-0.09
48940,P. Čech,Czech Republic,Arsenal,GK,36,82,81.97000122070312,0.03
5479,Casillas,Spain,FC Porto,GK,37,82,81.61000061035156,0.39
231677,M. Rashford,England,Manchester United,LW,20,81,81.18000030517578,-0.18
230271,Laure Santeiro,Brazil,Fluminense,CAM,30,81,80.93000030517578,0.07
229906,L. Bailey,Jamaica,Bayer 04 Leverkusen,LM,20,81,81.05000305175781,-0.05
229237,M. Akanji,Switzerland,Borussia Dortmund,LCB,22,81,81.16999816894531,-0.17
228702,F. de Jong,Netherlands,Ajax,LDM,21,81,81.68000030517578,-0.68
227928,Nélson Semedo,Portugal,FC Barcelona,RB,24,81,80.91000366210938,0.09
226456,Pablo Fornals,Spain,Villarreal CF,CAM,22,81,81.0,0.0
226271,Fabián,Spain,Napoli,LM,22,81,81.33999633789062,-0.34
225508,E. Bailly,Ivory Coast,Manchester United,CB,24,81,81.26000213623047,-0.26
222509,Dani Ceballos,Spain,Real Madrid,LCM,21,81,80.86000061035156,0.14
221992,H. Lozano,Mexico,PSV,LS,22,81,81.05999755859375,-0.06
216475,Morales,Spain,Levante UD,LS,30,81,80.91000366210938,0.09
216451,J. Seri,Ivory Coast,Fulham,LDM,26,81,81.08000183105469,-0.08
